Paper-ID,Title,url,Year,Venue,Authors,Type of Data,Type of Problem,Type of Model to be Explained,Type of Task,Type of Explanation,Method used to explain,Should the paper be included?,Should the paper be included with filter?
ijcai/PanLLZ20,Explainable Recommendation via Interpretable Feature Mapping and Evaluation of Explainability.,https://doi.org/10.24963/ijcai.2020/373,2020,IJCAI,"Deng Pan, Xiangrui Li, Xin Li 0081, Dongxiao Zhu",User-item matrix,Outcome Explanation,"(Deep) Neural Network, Other",Recommendation,"Disentanglement, Feature Importance",Post-hoc explanation method,Yes,Yes
aaai/TuHW0HZ20,"Select, Answer and Explain - Interpretable Multi-Hop Reading Comprehension over Multiple Documents.",https://aaai.org/ojs/index.php/AAAI/article/view/6441,2020,AAAI,"Ming Tu, Kevin Huang 0002, Guangtao Wang, Jing Huang 0019, Xiaodong He 0002, Bowen Zhou",Text,Outcome Explanation,(Deep) Neural Network,Question Answering,"Feature Importance, Localization",Supervised explanation training,Yes,Yes
cvpr/EsserRO20,A Disentangling Invertible Interpretation Network for Explaining Latent Representations.,https://doi.org/10.1109/CVPR42600.2020.00924,2020,CVPR,"Patrick Esser, Robin Rombach, Björn Ommer",Images,Model Inspection,(Deep) Neural Network,"Classification, Representation learning","Disentanglement, Representation Synthesis, Representation Visualization",Post-hoc explanation method,Yes,Yes
icdm/LiuMWH0G20,LP-Explain - Local Pictorial Explanation for Outliers.,https://doi.org/10.1109/ICDM50108.2020.00046,2020,ICDM,"Haoyu Liu, Fenglong Ma, Yaqing Wang, Shibo He, Jiming Chen 0001, Jing Gao",Tabular / structured,Outcome Explanation,Any (for a specific task); model-agnostic,Anomaly detection,Feature plot,Post-hoc explanation method,Yes,Yes
iclr/TsangCLFZL20,Feature Interaction Interpretability - A Case for Explaining Ad-Recommendation Systems via Neural Interaction Detection.,https://openreview.net/forum?id=BkgnhTEtDS,2020,ICLR,"Michael Tsang, Dehua Cheng, Hanpeng Liu, Xue Feng, Eric Zhou, Yan Liu 0002","Images, Text, Graph data, Any",Model Inspection,"(Deep) Neural Network, Any (for a specific task); model-agnostic","Classification, Recommendation",Localization,Post-hoc explanation method,Yes,Yes
icml/RiegerSMY20,Interpretations are Useful - Penalizing Explanations to Align Neural Networks with Prior Knowledge.,http://proceedings.mlr.press/v119/rieger20a.html,2020,ICML,"Laura Rieger, Chandan Singh, W. James Murdoch, Bin Yu","Tabular / structured, Images, Text",Outcome Explanation,(Deep) Neural Network,Classification,"Feature Importance, Heatmap",Supervised explanation training,Yes,Yes
kdd/PanHLZL20,xGAIL - Explainable Generative Adversarial Imitation Learning for Explainable Human Decision Analysis.,https://doi.org/10.1145/3394486.3403186,2020,KDD,"Menghai Pan, Weixiao Huang, Yanhua Li, Xun Zhou, Jun Luo 0007",Other,Outcome Explanation,(Deep) Neural Network,Policy learning,Heatmap,Post-hoc explanation method,Yes,Yes
nips/PalejaSCG20,Interpretable and Personalized Apprenticeship Scheduling - Learning Interpretable Scheduling Policies from Heterogeneous User Demonstrations.,https://proceedings.neurips.cc/paper/2020/hash/477bdb55b231264bb53a7942fd84254d-Abstract.html,2020,NeurIPS,"Rohan R. Paleja, Andrew Silva, Letian Chen, Matthew C. Gombolay","Graph data, Other",Transparent Box Design,Other,Policy learning,Decision Tree,Interpretability built into the predictive model,Yes,Yes
nips/VuT20,PGM-Explainer - Probabilistic Graphical Model Explanations for Graph Neural Networks.,https://proceedings.neurips.cc/paper/2020/hash/8fb134f258b1f7865a6ab2d935a897c9-Abstract.html,2020,NeurIPS,"Minh N. Vu, My T. Thai",Graph data,Outcome Explanation,"(Deep) Neural Network, Any (for a specific task); model-agnostic",Classification,Graph,Post-hoc explanation method,Yes,Yes
nips/ZhouHZLSXT20,Towards Interpretable Natural Language Understanding with Explanations as Latent Variables.,https://proceedings.neurips.cc/paper/2020/hash/4be2c8f27b8a420492f2d44463933eb6-Abstract.html,2020,NeurIPS,"Wangchunshu Zhou, Jinyi Hu, Hanlin Zhang, Xiaodan Liang, Maosong Sun, Chenyan Xiong, Jian Tang",Text,Outcome Explanation,(Deep) Neural Network,Classification,Text,Supervised explanation training,Yes,Yes
sigir/SenGVJ20,The Curious Case of IR Explainability - Explaining Document Scores within and across Ranking Models.,https://doi.org/10.1145/3397271.3401286,2020,SIGIR,"Procheta Sen, Debasis Ganguly, Manisha Verma, Gareth J. F. Jones",Text,"Model Inspection, Outcome Explanation","(Deep) Neural Network, Other",Retrieval,Feature Importance,Post-hoc explanation method,Yes,Yes
acl/LiuYW19,Towards Explainable NLP - A Generative Explanation Framework for Text Classification.,https://doi.org/10.18653/v1/p19-1560,2019,ACL,"Hui Liu, Qingyu Yin, William Yang Wang",Text,Outcome Explanation,"(Deep) Neural Network, Any (for a specific task); model-agnostic",Classification,"Text, Other",Supervised explanation training,Yes,Yes
cvpr/WagnerKGHWB19,Interpretable and Fine-Grained Visual Explanations for Convolutional Neural Networks.,http://openaccess.thecvf.com/content_CVPR_2019/html/Wagner_Interpretable_and_Fine-Grained_Visual_Explanations_for_Convolutional_Neural_Networks_CVPR_2019_paper.html,2019,CVPR,"Jörg Wagner, Jan Mathias Köhler, Tobias Gindele, Leon Hetzel, Jakob Thaddäus Wiedemer, Sven Behnke",Images,Outcome Explanation,(Deep) Neural Network,Classification,"Localization, Heatmap",Post-hoc explanation method,Yes,Yes
iclr/MWT19,Visual Explanation by Interpretation - Improving Visual Feedback Capabilities of Deep Neural Networks.,https://openreview.net/forum?id=H1ziPjC5Fm,2019,ICLR,"José Oramas M., Kaili Wang, Tinne Tuytelaars",Images,"Model Inspection, Outcome Explanation",(Deep) Neural Network,Classification,"Heatmap, Representation Synthesis",Post-hoc explanation method,Yes,Yes
icml/Wang19,Gaining Free or Low-Cost Interpretability with Interpretable Partial Substitute.,http://proceedings.mlr.press/v97/wang19a.html,2019,ICML,Tong Wang,"Tabular / structured, Text, Time series","Model Explanation, Outcome Explanation","(Deep) Neural Network, Tree Ensemble, Any (for a specific task); model-agnostic",Classification,Decision Rules,Post-hoc explanation method,Yes,Yes
nips/SchwabK19,CXPlain - Causal Explanations for Model Interpretation under Uncertainty.,https://proceedings.neurips.cc/paper/2019/hash/3ab6be46e1d6b21d59a3c3a0b9d0f6ef-Abstract.html,2019,NeurIPS,"Patrick Schwab, Walter Karlen","Images, Any",Outcome Explanation,"(Deep) Neural Network, Any (for a specific task); model-agnostic","Classification, Regression",Feature Importance,Post-hoc explanation method,Yes,Yes
sigir/ChenCXZ0QZ19,Personalized Fashion Recommendation with Visual Explanations based on Multimodal Attention Network - Towards Visually Explainable Recommendation.,https://doi.org/10.1145/3331184.3331254,2019,SIGIR,"Xu Chen 0017, Hanxiong Chen, Hongteng Xu, Yongfeng Zhang, Yixin Cao 0002, Zheng Qin, Hongyuan Zha","Images, Text, User-item matrix",Outcome Explanation,(Deep) Neural Network,Recommendation,Heatmap,Supervised explanation training,Yes,Yes
sigir/VermaG19,LIRME - Locally Interpretable Ranking Model Explanation.,https://doi.org/10.1145/3331184.3331377,2019,SIGIR,"Manisha Verma, Debasis Ganguly",Text,Outcome Explanation,"Any (for a specific task); model-agnostic, Other",Retrieval,Feature Importance,Post-hoc explanation method,Yes,Yes
aaai/ZhangCSWZ18,Interpreting CNN Knowledge via an Explanatory Graph.,https://www.aaai.org/ocs/index.php/AAAI/AAAI18/paper/view/17354,2018,AAAI,"Quanshi Zhang, Ruiming Cao, Feng Shi, Ying Nian Wu, Song-Chun Zhu",Images,Model Inspection,(Deep) Neural Network,Classification,"Heatmap, Graph, Prototypes, Localization",Post-hoc explanation method,Yes,Yes
icdm/YangLWH18,Towards Interpretation of Recommender Systems with Sorted Explanation Paths.,https://doi.org/10.1109/ICDM.2018.00082,2018,ICDM,"Fan Yang 0023, Ninghao Liu, Suhang Wang, Xia Hu","Tabular / structured, User-item matrix",Outcome Explanation,Other,Recommendation,Graph,Post-hoc explanation method,Yes,Yes
icml/ChenSWJ18,Learning to Explain - An Information-Theoretic Perspective on Model Interpretation.,http://proceedings.mlr.press/v80/chen18j.html,2018,ICML,"Jianbo Chen, Le Song, Martin J. Wainwright, Michael I. Jordan","Tabular / structured, Images, Text",Outcome Explanation,(Deep) Neural Network,Classification,"Feature Importance, Localization",Post-hoc explanation method,Yes,Yes
